date,sport,venue,zone,ticketed,inOKC,sessionType,startsAt,endsAt,startsAtUtc,endsAtUtc,durationMinutes,sessionNumber,totalSessions,sportSessionNumber,totalSportSessions,eventNumber,totalEvents,sportEventNumber,totalSportEvents,sex,eventType,description,eventOrder,eventTotalInSession
2028-07-16,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-16T14:00:00-07:00,2028-07-16T16:00:00-07:00,2028-07-16T21:00:00+00:00,2028-07-16T23:00:00+00:00,120,140,845,1,20,256,1856,1,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-16,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-16T14:00:00-07:00,2028-07-16T16:00:00-07:00,2028-07-16T21:00:00+00:00,2028-07-16T23:00:00+00:00,120,140,845,1,20,257,1856,2,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-16,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-16T17:30:00-07:00,2028-07-16T19:30:00-07:00,2028-07-17T00:30:00+00:00,2028-07-17T02:30:00+00:00,120,154,845,2,20,290,1856,3,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-16,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-16T17:30:00-07:00,2028-07-16T19:30:00-07:00,2028-07-17T00:30:00+00:00,2028-07-17T02:30:00+00:00,120,154,845,2,20,291,1856,4,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-16,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-16T21:00:00-07:00,2028-07-16T23:00:00-07:00,2028-07-17T04:00:00+00:00,2028-07-17T06:00:00+00:00,120,168,845,3,20,320,1856,5,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-16,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-16T21:00:00-07:00,2028-07-16T23:00:00-07:00,2028-07-17T04:00:00+00:00,2028-07-17T06:00:00+00:00,120,168,845,3,20,321,1856,6,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-17,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-17T14:00:00-07:00,2028-07-17T16:00:00-07:00,2028-07-17T21:00:00+00:00,2028-07-17T23:00:00+00:00,120,198,845,4,20,389,1856,7,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-17,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-17T14:00:00-07:00,2028-07-17T16:00:00-07:00,2028-07-17T21:00:00+00:00,2028-07-17T23:00:00+00:00,120,198,845,4,20,390,1856,8,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-17,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-17T17:30:00-07:00,2028-07-17T19:30:00-07:00,2028-07-18T00:30:00+00:00,2028-07-18T02:30:00+00:00,120,213,845,5,20,427,1856,9,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-17,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-17T17:30:00-07:00,2028-07-17T19:30:00-07:00,2028-07-18T00:30:00+00:00,2028-07-18T02:30:00+00:00,120,213,845,5,20,428,1856,10,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-17,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-17T21:00:00-07:00,2028-07-17T23:00:00-07:00,2028-07-18T04:00:00+00:00,2028-07-18T06:00:00+00:00,120,225,845,6,20,451,1856,11,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-17,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-17T21:00:00-07:00,2028-07-17T23:00:00-07:00,2028-07-18T04:00:00+00:00,2028-07-18T06:00:00+00:00,120,225,845,6,20,452,1856,12,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-18,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-18T14:00:00-07:00,2028-07-18T16:00:00-07:00,2028-07-18T21:00:00+00:00,2028-07-18T23:00:00+00:00,120,259,845,7,20,526,1856,13,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-18,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-18T14:00:00-07:00,2028-07-18T16:00:00-07:00,2028-07-18T21:00:00+00:00,2028-07-18T23:00:00+00:00,120,259,845,7,20,527,1856,14,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-18,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-18T17:30:00-07:00,2028-07-18T19:30:00-07:00,2028-07-19T00:30:00+00:00,2028-07-19T02:30:00+00:00,120,273,845,8,20,562,1856,15,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-18,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-18T17:30:00-07:00,2028-07-18T19:30:00-07:00,2028-07-19T00:30:00+00:00,2028-07-19T02:30:00+00:00,120,273,845,8,20,563,1856,16,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-18,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-18T21:00:00-07:00,2028-07-18T23:00:00-07:00,2028-07-19T04:00:00+00:00,2028-07-19T06:00:00+00:00,120,288,845,9,20,588,1856,17,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-18,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-18T21:00:00-07:00,2028-07-18T23:00:00-07:00,2028-07-19T04:00:00+00:00,2028-07-19T06:00:00+00:00,120,288,845,9,20,589,1856,18,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-19,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-19T14:00:00-07:00,2028-07-19T16:00:00-07:00,2028-07-19T21:00:00+00:00,2028-07-19T23:00:00+00:00,120,326,845,10,20,658,1856,19,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-19,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-19T14:00:00-07:00,2028-07-19T16:00:00-07:00,2028-07-19T21:00:00+00:00,2028-07-19T23:00:00+00:00,120,326,845,10,20,659,1856,20,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-19,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-19T17:30:00-07:00,2028-07-19T19:30:00-07:00,2028-07-20T00:30:00+00:00,2028-07-20T02:30:00+00:00,120,339,845,11,20,690,1856,21,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-19,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-19T17:30:00-07:00,2028-07-19T19:30:00-07:00,2028-07-20T00:30:00+00:00,2028-07-20T02:30:00+00:00,120,339,845,11,20,691,1856,22,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-19,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-19T21:00:00-07:00,2028-07-19T23:00:00-07:00,2028-07-20T04:00:00+00:00,2028-07-20T06:00:00+00:00,120,353,845,12,20,710,1856,23,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-19,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-19T21:00:00-07:00,2028-07-19T23:00:00-07:00,2028-07-20T04:00:00+00:00,2028-07-20T06:00:00+00:00,120,353,845,12,20,711,1856,24,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-20,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-20T14:00:00-07:00,2028-07-20T16:00:00-07:00,2028-07-20T21:00:00+00:00,2028-07-20T23:00:00+00:00,120,382,845,13,20,767,1856,25,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-20,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-20T14:00:00-07:00,2028-07-20T16:00:00-07:00,2028-07-20T21:00:00+00:00,2028-07-20T23:00:00+00:00,120,382,845,13,20,768,1856,26,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-20,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-20T17:30:00-07:00,2028-07-20T19:30:00-07:00,2028-07-21T00:30:00+00:00,2028-07-21T02:30:00+00:00,120,396,845,14,20,799,1856,27,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-20,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-20T17:30:00-07:00,2028-07-20T19:30:00-07:00,2028-07-21T00:30:00+00:00,2028-07-21T02:30:00+00:00,120,396,845,14,20,800,1856,28,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-20,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-20T21:00:00-07:00,2028-07-20T23:00:00-07:00,2028-07-21T04:00:00+00:00,2028-07-21T06:00:00+00:00,120,409,845,15,20,820,1856,29,42,Men,Preliminary,Men's Pool Round (2 Games),1,2
2028-07-20,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-20T21:00:00-07:00,2028-07-20T23:00:00-07:00,2028-07-21T04:00:00+00:00,2028-07-21T06:00:00+00:00,120,409,845,15,20,821,1856,30,42,Women,Preliminary,Women's Pool Round (2 Games),2,2
2028-07-21,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-21T14:00:00-07:00,2028-07-21T16:00:00-07:00,2028-07-21T21:00:00+00:00,2028-07-21T23:00:00+00:00,120,441,845,16,20,881,1856,31,42,Men,N/A,Men's Play-In (2 Games),1,2
2028-07-21,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-21T14:00:00-07:00,2028-07-21T16:00:00-07:00,2028-07-21T21:00:00+00:00,2028-07-21T23:00:00+00:00,120,441,845,16,20,882,1856,32,42,Women,N/A,Women's Play-In (2 Games),2,2
2028-07-21,3x3 Basketball,Valley Complex 3,Valley,True,False,Quarterfinal,2028-07-21T17:30:00-07:00,2028-07-21T19:30:00-07:00,2028-07-22T00:30:00+00:00,2028-07-22T02:30:00+00:00,120,453,845,17,20,910,1856,33,42,Men,Quarterfinal,Men's Quarterfinal (2 Games),1,2
2028-07-21,3x3 Basketball,Valley Complex 3,Valley,True,False,Quarterfinal,2028-07-21T17:30:00-07:00,2028-07-21T19:30:00-07:00,2028-07-22T00:30:00+00:00,2028-07-22T02:30:00+00:00,120,453,845,17,20,911,1856,34,42,Women,Quarterfinal,Women's Quarterfinal (2 Games),2,2
2028-07-21,3x3 Basketball,Valley Complex 3,Valley,True,False,Quarterfinal,2028-07-21T21:00:00-07:00,2028-07-21T23:00:00-07:00,2028-07-22T04:00:00+00:00,2028-07-22T06:00:00+00:00,120,464,845,18,20,932,1856,35,42,Men,Quarterfinal,Men's Quarterfinal (2 Games),1,2
2028-07-21,3x3 Basketball,Valley Complex 3,Valley,True,False,Quarterfinal,2028-07-21T21:00:00-07:00,2028-07-21T23:00:00-07:00,2028-07-22T04:00:00+00:00,2028-07-22T06:00:00+00:00,120,464,845,18,20,933,1856,36,42,Women,Quarterfinal,Women's Quarterfinal (2 Games),2,2
2028-07-22,3x3 Basketball,Valley Complex 3,Valley,True,False,Semifinal,2028-07-22T17:00:00-07:00,2028-07-22T19:00:00-07:00,2028-07-23T00:00:00+00:00,2028-07-23T02:00:00+00:00,120,507,845,19,20,1027,1856,37,42,Men,Semifinal,Men's Semifinal (2 Games),1,2
2028-07-22,3x3 Basketball,Valley Complex 3,Valley,True,False,Semifinal,2028-07-22T17:00:00-07:00,2028-07-22T19:00:00-07:00,2028-07-23T00:00:00+00:00,2028-07-23T02:00:00+00:00,120,507,845,19,20,1028,1856,38,42,Women,Semifinal,Women's Semifinal (2 Games),2,2
2028-07-22,3x3 Basketball,Valley Complex 3,Valley,True,False,Final,2028-07-22T21:00:00-07:00,2028-07-22T23:30:00-07:00,2028-07-23T04:00:00+00:00,2028-07-23T06:30:00+00:00,150,521,845,20,20,1059,1856,39,42,Men,Bronze,Men's Bronze Medal Game,1,4
2028-07-22,3x3 Basketball,Valley Complex 3,Valley,True,False,Final,2028-07-22T21:00:00-07:00,2028-07-22T23:30:00-07:00,2028-07-23T04:00:00+00:00,2028-07-23T06:30:00+00:00,150,521,845,20,20,1060,1856,40,42,Women,Bronze,Women's Bronze Medal Game,2,4
2028-07-22,3x3 Basketball,Valley Complex 3,Valley,True,False,Final,2028-07-22T21:00:00-07:00,2028-07-22T23:30:00-07:00,2028-07-23T04:00:00+00:00,2028-07-23T06:30:00+00:00,150,521,845,20,20,1061,1856,41,42,Men,Final,Men's Gold Medal Game,3,4
2028-07-22,3x3 Basketball,Valley Complex 3,Valley,True,False,Final,2028-07-22T21:00:00-07:00,2028-07-22T23:30:00-07:00,2028-07-23T04:00:00+00:00,2028-07-23T06:30:00+00:00,150,521,845,20,20,1062,1856,42,42,Women,Final,Women's Gold Medal Game,4,4
2028-07-19,Archery,N/A,Carson,False,False,N/A,2028-07-19T09:30:00-07:00,2028-07-19T12:00:00-07:00,2028-07-19T16:30:00+00:00,2028-07-19T19:00:00+00:00,150,310,845,1,17,627,1856,1,52,Women,Preliminary,Women's Compound Qualification Round,1,2
2028-07-19,Archery,N/A,Carson,False,False,N/A,2028-07-19T09:30:00-07:00,2028-07-19T12:00:00-07:00,2028-07-19T16:30:00+00:00,2028-07-19T19:00:00+00:00,150,310,845,1,17,628,1856,2,52,Men,Preliminary,Men's Recurve Qualification Round,2,2
2028-07-19,Archery,N/A,Carson,False,False,N/A,2028-07-19T13:30:00-07:00,2028-07-19T16:30:00-07:00,2028-07-19T20:30:00+00:00,2028-07-19T23:30:00+00:00,180,325,845,2,17,656,1856,3,52,Men,Preliminary,Men's Compound Qualification Round,1,2
2028-07-19,Archery,N/A,Carson,False,False,N/A,2028-07-19T13:30:00-07:00,2028-07-19T16:30:00-07:00,2028-07-19T20:30:00+00:00,2028-07-19T23:30:00+00:00,180,325,845,2,17,657,1856,4,52,Women,Preliminary,Women's Recurve Qualification Round,2,2
2028-07-21,Archery,Carson Stadium,Carson,True,False,Final,2028-07-21T19:30:00-07:00,2028-07-21T23:15:00-07:00,2028-07-22T02:30:00+00:00,2028-07-22T06:15:00+00:00,225,460,845,3,17,923,1856,5,52,Mixed,N/A,Compound Mixed Team 1/8 Elimination Round,1,5
2028-07-21,Archery,Carson Stadium,Carson,True,False,Final,2028-07-21T19:30:00-07:00,2028-07-21T23:15:00-07:00,2028-07-22T02:30:00+00:00,2028-07-22T06:15:00+00:00,225,460,845,3,17,924,1856,6,52,Mixed,Quarterfinal,Compound Mixed Team Quarterfinal,2,5
2028-07-21,Archery,Carson Stadium,Carson,True,False,Final,2028-07-21T19:30:00-07:00,2028-07-21T23:15:00-07:00,2028-07-22T02:30:00+00:00,2028-07-22T06:15:00+00:00,225,460,845,3,17,925,1856,7,52,Mixed,Semifinal,Compound Mixed Team Semifinal,3,5
2028-07-21,Archery,Carson Stadium,Carson,True,False,Final,2028-07-21T19:30:00-07:00,2028-07-21T23:15:00-07:00,2028-07-22T02:30:00+00:00,2028-07-22T06:15:00+00:00,225,460,845,3,17,926,1856,8,52,Mixed,Bronze,Compound Mixed Team Bronze Medal Match,4,5
2028-07-21,Archery,Carson Stadium,Carson,True,False,Final,2028-07-21T19:30:00-07:00,2028-07-21T23:15:00-07:00,2028-07-22T02:30:00+00:00,2028-07-22T06:15:00+00:00,225,460,845,3,17,927,1856,9,52,Mixed,Final,Compound Mixed Team Gold Medal Match,5,5
2028-07-22,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-22T09:30:00-07:00,2028-07-22T12:35:00-07:00,2028-07-22T16:30:00+00:00,2028-07-22T19:35:00+00:00,185,483,845,4,17,965,1856,10,52,Men,N/A,Men's Individual 1/32 Elimination Round,1,4
2028-07-22,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-22T09:30:00-07:00,2028-07-22T12:35:00-07:00,2028-07-22T16:30:00+00:00,2028-07-22T19:35:00+00:00,185,483,845,4,17,966,1856,11,52,Women,N/A,Women's Individual 1/32 Elimination Round,2,4
2028-07-22,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-22T09:30:00-07:00,2028-07-22T12:35:00-07:00,2028-07-22T16:30:00+00:00,2028-07-22T19:35:00+00:00,185,483,845,4,17,967,1856,12,52,Men,N/A,Men's Individual 1/16 Elimination Round,3,4
2028-07-22,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-22T09:30:00-07:00,2028-07-22T12:35:00-07:00,2028-07-22T16:30:00+00:00,2028-07-22T19:35:00+00:00,185,483,845,4,17,968,1856,13,52,Women,N/A,Women's Individual 1/16 Elimination Round,4,4
2028-07-22,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-22T20:00:00-07:00,2028-07-22T22:40:00-07:00,2028-07-23T03:00:00+00:00,2028-07-23T05:40:00+00:00,160,518,845,5,17,1053,1856,14,52,Men,N/A,Men's Individual 1/32 Elimination Round,1,4
2028-07-22,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-22T20:00:00-07:00,2028-07-22T22:40:00-07:00,2028-07-23T03:00:00+00:00,2028-07-23T05:40:00+00:00,160,518,845,5,17,1054,1856,15,52,Women,N/A,Women's Individual 1/32 Elimination Round,2,4
2028-07-22,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-22T20:00:00-07:00,2028-07-22T22:40:00-07:00,2028-07-23T03:00:00+00:00,2028-07-23T05:40:00+00:00,160,518,845,5,17,1055,1856,16,52,Men,N/A,Men's Individual 1/16 Elimination Round,3,4
2028-07-22,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-22T20:00:00-07:00,2028-07-22T22:40:00-07:00,2028-07-23T03:00:00+00:00,2028-07-23T05:40:00+00:00,160,518,845,5,17,1056,1856,17,52,Women,N/A,Women's Individual 1/16 Elimination Round,4,4
2028-07-23,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-23T09:30:00-07:00,2028-07-23T12:35:00-07:00,2028-07-23T16:30:00+00:00,2028-07-23T19:35:00+00:00,185,533,845,6,17,1080,1856,18,52,Men,N/A,Men's Individual 1/32 Elimination Round,1,4
2028-07-23,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-23T09:30:00-07:00,2028-07-23T12:35:00-07:00,2028-07-23T16:30:00+00:00,2028-07-23T19:35:00+00:00,185,533,845,6,17,1081,1856,19,52,Women,N/A,Women's Individual 1/32 Elimination Round,2,4
2028-07-23,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-23T09:30:00-07:00,2028-07-23T12:35:00-07:00,2028-07-23T16:30:00+00:00,2028-07-23T19:35:00+00:00,185,533,845,6,17,1082,1856,20,52,Men,N/A,Men's Individual 1/16 Elimination Round,3,4
2028-07-23,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-23T09:30:00-07:00,2028-07-23T12:35:00-07:00,2028-07-23T16:30:00+00:00,2028-07-23T19:35:00+00:00,185,533,845,6,17,1083,1856,21,52,Women,N/A,Women's Individual 1/16 Elimination Round,4,4
2028-07-23,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-23T20:00:00-07:00,2028-07-23T22:40:00-07:00,2028-07-24T03:00:00+00:00,2028-07-24T05:40:00+00:00,160,564,845,7,17,1144,1856,22,52,Men,N/A,Men's Individual 1/32 Elimination Round,1,4
2028-07-23,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-23T20:00:00-07:00,2028-07-23T22:40:00-07:00,2028-07-24T03:00:00+00:00,2028-07-24T05:40:00+00:00,160,564,845,7,17,1145,1856,23,52,Women,N/A,Women's Individual 1/32 Elimination Round,2,4
2028-07-23,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-23T20:00:00-07:00,2028-07-23T22:40:00-07:00,2028-07-24T03:00:00+00:00,2028-07-24T05:40:00+00:00,160,564,845,7,17,1146,1856,24,52,Men,N/A,Men's Individual 1/16 Elimination Round,3,4
2028-07-23,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-23T20:00:00-07:00,2028-07-23T22:40:00-07:00,2028-07-24T03:00:00+00:00,2028-07-24T05:40:00+00:00,160,564,845,7,17,1147,1856,25,52,Women,N/A,Women's Individual 1/16 Elimination Round,4,4
2028-07-24,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-24T09:30:00-07:00,2028-07-24T12:35:00-07:00,2028-07-24T16:30:00+00:00,2028-07-24T19:35:00+00:00,185,580,845,8,17,1171,1856,26,52,Women,N/A,Women's Individual 1/32 Elimination Round,1,2
2028-07-24,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-24T09:30:00-07:00,2028-07-24T12:35:00-07:00,2028-07-24T16:30:00+00:00,2028-07-24T19:35:00+00:00,185,580,845,8,17,1172,1856,27,52,Women,N/A,Women's Individual 1/16 Elimination Round,2,2
2028-07-24,Archery,Carson Stadium,Carson,True,False,Final,2028-07-24T19:30:00-07:00,2028-07-24T23:10:00-07:00,2028-07-25T02:30:00+00:00,2028-07-25T06:10:00+00:00,220,614,845,9,17,1245,1856,28,52,Men,Quarterfinal,Men's Team Quarterfinal,1,4
2028-07-24,Archery,Carson Stadium,Carson,True,False,Final,2028-07-24T19:30:00-07:00,2028-07-24T23:10:00-07:00,2028-07-25T02:30:00+00:00,2028-07-25T06:10:00+00:00,220,614,845,9,17,1246,1856,29,52,Men,Semifinal,Men's Team Semifinal,2,4
2028-07-24,Archery,Carson Stadium,Carson,True,False,Final,2028-07-24T19:30:00-07:00,2028-07-24T23:10:00-07:00,2028-07-25T02:30:00+00:00,2028-07-25T06:10:00+00:00,220,614,845,9,17,1247,1856,30,52,Men,Bronze,Men's Team Bronze Medal Match,3,4
2028-07-24,Archery,Carson Stadium,Carson,True,False,Final,2028-07-24T19:30:00-07:00,2028-07-24T23:10:00-07:00,2028-07-25T02:30:00+00:00,2028-07-25T06:10:00+00:00,220,614,845,9,17,1248,1856,31,52,Men,Final,Men's Team Gold Medal Match,4,4
2028-07-25,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-25T09:30:00-07:00,2028-07-25T12:35:00-07:00,2028-07-25T16:30:00+00:00,2028-07-25T19:35:00+00:00,185,630,845,10,17,1274,1856,32,52,Men,N/A,Men's Individual 1/32 Elimination Round,1,2
2028-07-25,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-25T09:30:00-07:00,2028-07-25T12:35:00-07:00,2028-07-25T16:30:00+00:00,2028-07-25T19:35:00+00:00,185,630,845,10,17,1275,1856,33,52,Men,N/A,Men's Individual 1/16 Elimination Round,2,2
2028-07-25,Archery,Carson Stadium,Carson,True,False,Final,2028-07-25T19:30:00-07:00,2028-07-25T23:10:00-07:00,2028-07-26T02:30:00+00:00,2028-07-26T06:10:00+00:00,220,666,845,11,17,1356,1856,34,52,Women,Quarterfinal,Women's Team Quarterfinal,1,4
2028-07-25,Archery,Carson Stadium,Carson,True,False,Final,2028-07-25T19:30:00-07:00,2028-07-25T23:10:00-07:00,2028-07-26T02:30:00+00:00,2028-07-26T06:10:00+00:00,220,666,845,11,17,1357,1856,35,52,Women,Semifinal,Women's Team Semifinal,2,4
2028-07-25,Archery,Carson Stadium,Carson,True,False,Final,2028-07-25T19:30:00-07:00,2028-07-25T23:10:00-07:00,2028-07-26T02:30:00+00:00,2028-07-26T06:10:00+00:00,220,666,845,11,17,1358,1856,36,52,Women,Bronze,Women's Team Bronze Medal Match,3,4
2028-07-25,Archery,Carson Stadium,Carson,True,False,Final,2028-07-25T19:30:00-07:00,2028-07-25T23:10:00-07:00,2028-07-26T02:30:00+00:00,2028-07-26T06:10:00+00:00,220,666,845,11,17,1359,1856,37,52,Women,Final,Women's Team Gold Medal Match,4,4
2028-07-26,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-26T09:30:00-07:00,2028-07-26T12:05:00-07:00,2028-07-26T16:30:00+00:00,2028-07-26T19:05:00+00:00,155,682,845,12,17,1396,1856,38,52,Mixed,Preliminary,Mixed team 1/8 Elimination Round,1,1
2028-07-26,Archery,Carson Stadium,Carson,True,False,Final,2028-07-26T20:00:00-07:00,2028-07-26T23:10:00-07:00,2028-07-27T03:00:00+00:00,2028-07-27T06:10:00+00:00,190,710,845,13,17,1470,1856,39,52,Mixed,Quarterfinal,Mixed Team Quarterfinal,1,4
2028-07-26,Archery,Carson Stadium,Carson,True,False,Final,2028-07-26T20:00:00-07:00,2028-07-26T23:10:00-07:00,2028-07-27T03:00:00+00:00,2028-07-27T06:10:00+00:00,190,710,845,13,17,1471,1856,40,52,Mixed,Semifinal,Mixed Team Semifinal,2,4
2028-07-26,Archery,Carson Stadium,Carson,True,False,Final,2028-07-26T20:00:00-07:00,2028-07-26T23:10:00-07:00,2028-07-27T03:00:00+00:00,2028-07-27T06:10:00+00:00,190,710,845,13,17,1472,1856,41,52,Mixed,Bronze,Mixed Team Bronze Medal Match,3,4
2028-07-26,Archery,Carson Stadium,Carson,True,False,Final,2028-07-26T20:00:00-07:00,2028-07-26T23:10:00-07:00,2028-07-27T03:00:00+00:00,2028-07-27T06:10:00+00:00,190,710,845,13,17,1473,1856,42,52,Mixed,Final,Mixed Team Gold Medal Match,4,4
2028-07-27,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-27T09:30:00-07:00,2028-07-27T11:15:00-07:00,2028-07-27T16:30:00+00:00,2028-07-27T18:15:00+00:00,105,724,845,14,17,1503,1856,43,52,Men,Preliminary,Men's Individual 1/8 Elimination Round,1,1
2028-07-27,Archery,Carson Stadium,Carson,True,False,Final,2028-07-27T20:30:00-07:00,2028-07-27T22:50:00-07:00,2028-07-28T03:30:00+00:00,2028-07-28T05:50:00+00:00,140,759,845,15,17,1605,1856,44,52,Men,Quarterfinal,Men's Individual Quarterfinal,1,4
2028-07-27,Archery,Carson Stadium,Carson,True,False,Final,2028-07-27T20:30:00-07:00,2028-07-27T22:50:00-07:00,2028-07-28T03:30:00+00:00,2028-07-28T05:50:00+00:00,140,759,845,15,17,1606,1856,45,52,Men,Semifinal,Men's Individual Semifinal,2,4
2028-07-27,Archery,Carson Stadium,Carson,True,False,Final,2028-07-27T20:30:00-07:00,2028-07-27T22:50:00-07:00,2028-07-28T03:30:00+00:00,2028-07-28T05:50:00+00:00,140,759,845,15,17,1607,1856,46,52,Men,Bronze,Men's Individual Bronze Medal Match,3,4
2028-07-27,Archery,Carson Stadium,Carson,True,False,Final,2028-07-27T20:30:00-07:00,2028-07-27T22:50:00-07:00,2028-07-28T03:30:00+00:00,2028-07-28T05:50:00+00:00,140,759,845,15,17,1608,1856,47,52,Men,Final,Men's Individual Gold Medal Match,4,4
2028-07-28,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-28T09:30:00-07:00,2028-07-28T11:15:00-07:00,2028-07-28T16:30:00+00:00,2028-07-28T18:15:00+00:00,105,769,845,16,17,1635,1856,48,52,Women,Preliminary,Women's Individual 1/8 Elimination Round,1,1
2028-07-28,Archery,Carson Stadium,Carson,True,False,Final,2028-07-28T20:30:00-07:00,2028-07-28T22:50:00-07:00,2028-07-29T03:30:00+00:00,2028-07-29T05:50:00+00:00,140,801,845,17,17,1719,1856,49,52,Women,Quarterfinal,Women's Individual Quarterfinal,1,4
2028-07-28,Archery,Carson Stadium,Carson,True,False,Final,2028-07-28T20:30:00-07:00,2028-07-28T22:50:00-07:00,2028-07-29T03:30:00+00:00,2028-07-29T05:50:00+00:00,140,801,845,17,17,1720,1856,50,52,Women,Semifinal,Women's Individual Semifinal,2,4
